Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1996,-,-,-,-,-,338,"1,010","1,082","7,935","8,276",564,24,"19,229"
1997,25,4,43,180,381,889,"3,808","2,814","7,152","12,053","7,314",183,"34,846"
1998,2,22,27,31,363,"1,107","3,131","3,001","6,433","12,391","2,280",764,"29,552"
1999,0,8,23,91,243,538,"2,027","2,735","3,478","7,856","2,889",12,"19,900"
2000,4,3,32,231,535,815,"1,816","2,142","3,769","4,859",851,162,"15,219"
2001,0,1,24,134,430,"1,577","3,823","4,209","5,640","5,065","1,184",117,"22,204"
2002,36,0,9,95,349,529,"2,599","2,594","4,571","5,491","2,561",52,"18,886"
2003,1,5,30,81,325,"2,002","6,005","4,142","7,398","14,066","9,242",766,"44,063"
2004,145*,*,96,297,752,"3,943","8,112","5,267","8,454","13,649","6,946","1,007","48,668"
2005,127,30,126,211,"1,028","2,229","5,746","6,917","8,924","6,559",660,361,"32,918"
2006,41#,17,11,157,592,"2,083","4,485","9,460","11,170","10,713","2,384",195,"41,308"
2007,4#,18,20,212,670,"1,625","2,543","5,883","9,224","8,764","1,832",76**,"30,871"
2008,27,15,26,97,691,"4,047","5,281","4,110","6,138","6,413","2,323",158,"29,326"
2009,4,18*,57,139,653,"1,951","5,082","2,494","3,859","7,789",627,58,"22,731"
2010,5,2,51,105,423,"3,638","9,240","10,430","11,458","9,409",837,4,"45,602"
2011,0#,5,106,409,"1,346","3,076","5,651","5,771","7,519","8,777","3,304",11,"35,975"
2012,13,41,144,223,"1,029","2,281","4,111","5,445","4,664","3,195",793,0,"21,939"
2013,4,1,1,244,736,"2,352","6,305","8,168","8,395","4,872",437,101,"31,616"
2014,1,2,30,215,901,"3,346","5,793","7,198","6,265","7,156",314,2,"31,223"
2015,0,5,17,197#,598,"3,204","10,445","6,726","9,978","9,777","2,237",5,"43,189"
2016,1,1,59***,99***#,832,"7,113","9,919***","5,463","3,624","5,550",257,311,"33,229"
2017,8,10,32,131,829,"7,581","10,995","4,558","5,401","2,540",617,35,"32,737"
2018,0,2,6,138,616,"4,327","7,966","9,123","6,158","4,516","1,238",8,"34,098"
2019,6,26,18,274,"1,515","4,640","7,146","2,128","1,281",275,1,1,"17,311"
2020,1,1,5,12****,****,****,****,"2,606*","1,629",835,288,0,"5,377*"
2021,1,0,13,55,319,"2,108","6,507*#","6,735","3,090*#","1,539",274,1,"20,642*"
2022,10,6****,67,172,537,"3,677","11,845","7,518","3,361*","1,595",129,,"28,917"